Function,Global Final Mean,Global Final Std,Global PB Mean,Global PB Std,Ring Final Mean,Ring Final Std,Ring PB Mean,Ring PB Std,VN Final Mean,VN Final Std,VN PB Mean,VN PB Std
Shifted Rotated Griewank,0.48181870492020124,0.18944380912236497,0.03274336609901558,0.010519118906269853,0.15246301231662857,0.04038940223135721,0.057651375942440464,0.016348777258899373,0.08405924355761332,0.040539325374211184,0.017509504759023152,0.006262973233032313
Shifted Rotated Ackley,-4.906603011684432,0.0633107451241281,-4.986799704766017,0.014289683626915833,-4.987348816097159,0.014886486335854689,-4.993285682173548,0.009582234701053698,-4.9988642399818035,0.0006318988960647067,-4.999517220557487,0.0002470999952702081
Shifted Rastrigin,-19.264388570214603,0.731243732307667,-19.847450004219557,0.31981783500105193,-19.039997145372503,0.36422383465964747,-19.352904731053663,0.2617170011422543,-19.978359397283025,0.06676255220121831,-19.99548293172308,0.022886968947892987
Shifted Rotated Rastrigin,-19.1973428273163,1.6530184128324796,-19.838937515615374,0.33194130263699156,-18.89483988741524,0.5226657017328493,-19.332007769477315,0.2520200051685875,-19.939198934019927,0.16672897694563604,-19.98920135285249,0.04043226974435671
Weirstrass shifted and Rotated,-1.894798996800467,0.060848647673274026,-1.948556388799538,0.03287717013222236,-1.9383833018009784,0.007649552654248738,-1.9428918090589684,0.008892847753402757,-1.9512395439816146,0.0292551896075108,-1.9570871249450632,0.03191342120952871
Schwefel,0.0029133331663183494,0.006734874401263554,0.000334525703404767,0.00033822585678990627,0.0003023702112246859,0.00014670818234420655,0.00017384405757294756,9.670850947477463e-05,4.3081584678548194e-05,1.963283855270734e-05,1.807515019557314e-05,9.49180038586583e-06
"Griewank plus Rosenbrock, Amplified and Dampened",0.23885344619368934,0.22249869354699175,0.23286707907280285,0.22260562750628624,0.1984543343002708,0.091277875461394,0.1837273193216266,0.09000647453107136,0.09653077395145825,0.08097225826228291,0.09652016230058777,0.08097436938157286
Ridge,-9.990301317316549,0.012250338147053563,-9.999064175483324,0.0006332364199837466,-9.999830516166432,0.00013302908271239206,-9.999973822924266,2.5065998467874266e-05,-9.999947686983942,3.1310501853601695e-05,-9.99999237484379,4.475276910152234e-06
Shekel-25,12.675875508261713,0.03208733117279042,12.67050581154996,1.6997020318330835e-09,12.670505811238755,4.1513775967572496e-10,12.670505811142043,4.9626511836425215e-12,12.67050581114369,1.0360781855684523e-11,12.670505811136195,5.340895041628683e-13
Shubert-3,-17.464721973930477,1.8396835670241833,-19.31602911004489,0.36269964203054544,-17.71878948593526,0.9430717824002078,-18.439058729993857,0.7099452211806863,-19.591761479339347,0.22184583627766175,-19.790012281777365,0.03047583361207308
Trid,-1.9952898556898122,0.017962694941337374,-1.9999870026847015,2.26891196174533e-05,-1.9999983381667348,2.7269520811918665e-06,-1.9999995078163957,5.426687469096993e-07,-1.9999999422187882,8.277937189290918e-08,-1.9999999942803708,5.1403580379038195e-09
Egg Crate,0.011552475096819854,0.030234824264657945,0.0003795203646526618,0.0012660684889580283,0.025685077890778785,0.09429289187385989,0.007218565553287054,0.03363774215275877,8.29766701440885e-07,1.2367077678103736e-06,9.509499782002102e-08,1.3517847538521046e-07
Himmelblau,2.5323117418947323,3.435971237978715,0.028101228000139637,0.04060509580429503,0.036920674540486816,0.1303158043430117,0.0029101743954221887,0.004640044903190718,0.019055449499775702,0.06372575637368467,8.777531147077405e-05,0.00030926151374573624
Holder Table Function,-18.77737723421742,0.9011178502978733,-19.085501852304024,0.4419534494738919,-18.89724130530265,0.2522531729928252,-18.936941429009472,0.2330783813710852,-19.19914242752822,0.03019237495424976,-19.204965408157012,0.017325424102299123
Keane Function,-0.6470870021264145,0.04663712386021986,-0.6733905477228048,0.0003383999231780078,-0.6726656570774066,0.0019087603723580994,-0.6734901067858415,0.00031567387064840785,-0.6734848994975431,0.0006056139361581068,-0.6736632631679158,9.968231217461584e-06
Bird Function,-101.1895695964959,5.67308119934496,-106.28550805136736,0.7711336164867165,-104.58988058511925,2.155707962177808,-105.2899839178782,1.6213278427558613,-106.53910482861873,0.5295666579754589,-106.75963276086895,0.010709521649917135
Xin-She Yang N.4,-0.9297525682012927,0.23655389644526728,-0.9386216126136355,0.2371446385665629,-0.8205477854895097,0.14777821918224895,-0.860159195166588,0.1364155635147001,-0.9394371280253776,0.2373446328809535,-0.939785999701273,0.23743246319108768
Cross-in-Tray,-2.056370279420574,0.008232175256399089,-2.062584107349991,3.966167317959583e-05,-2.062438018062984,0.0005091189421476624,-2.0626028469485376,1.311854965655318e-05,-2.062592301274538,8.100319215699673e-05,-2.0626113698073705,1.46420686324758e-06
Schwefel 2.21,0.05481530144835867,0.060822798999216575,0.007228408957759755,0.006525514654403376,0.00757917881771209,0.003748337857262643,0.004269639424072691,0.0023265660484491453,0.0009586021638408533,0.0003889581009563647,0.0003819701090046784,0.00016790158083711647
